,Unnamed: 0,eveWaveTime,mornWaveTime,sec,sec2
144,1.0,0 days 01:10:00,0 days 01:02:00,1.167,1.033
145,1.0,0 days 01:09:00,0 days 00:58:00,1.15,0.967
146,1.0,0 days 00:40:00,0 days 00:29:00,0.667,0.483
147,1.0,0 days 02:21:00,0 days 01:33:00,2.35,1.55
148,1.0,0 days 01:32:00,0 days 01:32:00,1.533,1.533
149,1.0,0 days 01:00:00,0 days 01:28:00,1.0,1.467
150,1.0,0 days 00:00:00,0 days 00:29:00,0.0,0.483
151,1.0,0 days 01:00:00,0 days 00:30:00,1.0,0.5
152,1.0,0 days 00:30:00,0 days 00:19:00,0.5,0.317
153,1.0,0 days 00:10:00,0 days 00:22:00,0.167,0.367
154,1.0,0 days 01:13:00,0 days 00:59:00,1.217,0.983
155,1.0,0 days 00:17:00,0 days 00:18:00,0.283,0.3
156,1.0,0 days 00:20:00,0 days 00:41:00,0.333,0.683
157,1.0,0 days 00:17:00,0 days 00:30:00,0.283,0.5
158,1.0,0 days 00:33:00,0 days 00:30:00,0.55,0.5
